step,loss function, target value
0,1.18388e+00,1.84192e+00
100,2.94488e-01,1.80823e+00
200,2.00627e-01,1.78283e+00
300,2.03963e-01,1.76177e+00
400,1.99014e-01,1.75510e+00
500,1.97491e-01,1.75276e+00
600,1.99612e-01,1.75077e+00
700,1.93130e-01,1.75368e+00
800,1.92861e-01,1.75305e+00
900,1.93470e-01,1.75535e+00
1000,1.92069e-01,1.76854e+00
1100,1.99104e-01,1.75788e+00
1200,1.97066e-01,1.75528e+00
1300,1.99603e-01,1.75538e+00
1400,1.91518e-01,1.75717e+00
1500,1.95090e-01,1.75678e+00
1600,1.94099e-01,1.75280e+00
1700,2.03340e-01,1.75587e+00
1800,1.96039e-01,1.75964e+00
1900,1.96467e-01,1.75774e+00
2000,1.98429e-01,1.75443e+00
2100,1.93556e-01,1.76143e+00
2200,2.00818e-01,1.75538e+00
2300,1.95589e-01,1.75848e+00
2400,1.98901e-01,1.75919e+00
2500,1.99571e-01,1.75128e+00
2600,1.95289e-01,1.74885e+00
2700,2.02066e-01,1.74723e+00
2800,1.95338e-01,1.75397e+00
2900,1.94138e-01,1.75618e+00
3000,1.95793e-01,1.75547e+00
