step ,loss function , target value , runtime 
0,1.58931e-01,5.43809e-01,3
100,1.24704e-01,4.95327e-01,13
200,9.75994e-02,4.50445e-01,20
300,7.67265e-02,4.08838e-01,29
400,5.97590e-02,3.70181e-01,38
500,4.63342e-02,3.34352e-01,46
600,3.55461e-02,3.01244e-01,55
700,2.71986e-02,2.70762e-01,64
800,2.05043e-02,2.42694e-01,72
900,1.53138e-02,2.17048e-01,80
1000,1.13112e-02,1.93796e-01,89
1100,8.12252e-03,1.72672e-01,98
1200,5.74919e-03,1.53845e-01,106
1300,4.00545e-03,1.37094e-01,115
1400,2.73350e-03,1.22348e-01,123
1500,1.82755e-03,1.09519e-01,132
1600,1.19604e-03,9.84349e-02,141
1700,7.60102e-04,8.90208e-02,149
1800,4.82672e-04,8.12101e-02,158
1900,2.99668e-04,7.47561e-02,167
2000,1.83108e-04,6.95138e-02,176
2100,1.14047e-04,6.52941e-02,185
2200,7.44544e-05,6.19746e-02,193
2300,5.28829e-05,5.94446e-02,202
2400,4.05316e-05,5.74959e-02,211
2500,3.46912e-05,5.60672e-02,220
2600,3.19828e-05,5.50427e-02,229
2700,3.07479e-05,5.43043e-02,238
2800,3.03294e-05,5.38068e-02,246
2900,2.98569e-05,5.34937e-02,255
3000,2.94162e-05,5.32646e-02,264
3100,2.95691e-05,5.30659e-02,273
3200,2.97188e-05,5.29653e-02,282
3300,2.94238e-05,5.29396e-02,290
3400,2.98951e-05,5.29231e-02,299
3500,2.98639e-05,5.28682e-02,308
3600,3.02208e-05,5.29008e-02,317
3700,2.99510e-05,5.29027e-02,326
3800,3.00610e-05,5.28080e-02,335
3900,3.03567e-05,5.28060e-02,343
4000,3.02893e-05,5.29176e-02,352
