step ,loss function ,  target value , runtime 
0,1.59297e-01,5.43809e-01,13
100,1.24515e-01,4.95328e-01,40
200,9.76788e-02,4.50503e-01,61
300,7.67960e-02,4.08909e-01,82
400,6.01213e-02,3.70218e-01,103
500,4.67201e-02,3.34422e-01,122
600,3.59002e-02,3.01374e-01,143
700,2.75084e-02,2.70904e-01,164
800,2.07744e-02,2.42767e-01,185
900,1.55346e-02,2.17184e-01,206
1000,1.14400e-02,1.93806e-01,226
1100,8.29720e-03,1.72614e-01,245
1200,5.92616e-03,1.53786e-01,264
1300,4.19736e-03,1.36946e-01,286
1400,2.93464e-03,1.22195e-01,303
1500,2.02955e-03,1.09360e-01,326
1600,1.40853e-03,9.83178e-02,342
1700,9.86544e-04,8.88796e-02,360
1800,7.11630e-04,8.10259e-02,378
1900,5.31484e-04,7.45518e-02,401
2000,4.18235e-04,6.92847e-02,423
2100,3.53589e-04,6.51254e-02,443
2200,3.11433e-04,6.18256e-02,463
2300,2.90740e-04,5.93623e-02,486
2400,2.79950e-04,5.72966e-02,505
2500,2.74892e-04,5.59445e-02,527
2600,2.69307e-04,5.50774e-02,547
2700,2.65711e-04,5.43818e-02,564
2800,2.64103e-04,5.37911e-02,582
2900,2.62037e-04,5.33849e-02,602
3000,2.62140e-04,5.33168e-02,621
3100,2.56455e-04,5.31622e-02,639
3200,2.54643e-04,5.31710e-02,658
3300,2.52929e-04,5.28631e-02,680
3400,2.49461e-04,5.29626e-02,697
3500,2.44604e-04,5.29244e-02,715
3600,2.39256e-04,5.28955e-02,734
3700,2.37666e-04,5.27169e-02,754
3800,2.34690e-04,5.26423e-02,772
3900,2.30603e-04,5.27869e-02,790
4000,2.25333e-04,5.30601e-02,811
